,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6481,915,Camilo Castellanos,@CastellanosCami,2021-02-15,paises argentina chile tambien transmitio vivo toda llegada vacuna recibieron gobiernos logico paises mas rapido maximo esfuerzo amigos colombia preferencias politicas llego esperanza construyamos
6482,916,Un Centauro en la Oscuridad,@daniloladino,2021-02-15,hacer super despliegue casi publireportaje llegada tan solo 50k dosis vacuna colombia tan chistoso exagerado ver villavicencio llego primera escalera electrica centro cial gente hacia fila usarlas
6483,917,Daniel,@defuse___,2021-02-15,empezando dimensionar nivel corrupcion estafa vacunacion colombia cierto vendo vacuna barata
6484,918,Mauricio Casasbuenas,@Maurici81649029,2021-02-15,senor subpresidente despues mentir faltar palabra vez hoy llegada ridicula cantidad 50000 dosis vacuna saca pecho dice cumpliendose colombia alcanza personal salud 1ra linea
6485,919,Carlos José Centeno Quiroga,@carlos_j200,2021-02-15,colombia cuenta vacuna aplicara colombianos sustancialmente momento colombianos dejemos guiar falta informacion momento colombianos objetivos pensemos bien comun
6486,920,Abdelmalek Ali al-Franco,@MonsieurFreytte,2021-02-15,celebrando vacuna ignorando voluntariamente 3 variantes covid colombia mas mortales
6487,921,Joha,@Arq_JohaRC,2021-02-15,duque deberia darle vergenza salir minima cantidad dosis vacuna decir cumplimos colombia faltara zombie celebre
6488,922,João Fracica,@JoaoFracica,2021-02-15,deberian dejar laboratorios privados adquieran compren vacuna agilizar proceso vacunacion colombia
6489,923,Pedro Adrián Zuluaga,@pedroazuluaga,2021-02-15,2245 numero matricula aerolinea trajo colombia 50 mil vacunas mismo salgo hacer numero chance ver si gano platica puedo pagar alguna vacuna express mercado negro
6490,924,Sr.Quiroz,@juank_quiroz,2021-02-15,supuestamente llegaron vacuna colombia ahora hace falta payaso colocarle hijo recien nacido jhon pfizer astrazeneca
6491,925,El Man de los CROCS,@Legarda77443474,2021-02-15,comunistas ayer felices habia llegado vacuna venezuela hoy destilan rabia llego colombia pobre seres humanos
