Nombre de usuario,Usuario,Fecha,Texto
Max,@findoutmax,2020-12-10T20:13:42.000Z,El #YoNoMeVacuno demuestra una gran teoría: la selección natural
FlacaMartiColon,@flaca_marti,2020-12-10T19:38:38.000Z,"#YoNoMeVacuno  vos 
@alferdez
  podés hacer de tu cul una bicicleta,me importa tres cazzo"
Segi JO TA KE,@edocabare,2020-12-10T19:07:52.000Z,"Selección natural, por favor, haz tu magia #YoNoMeVacuno"
Toñi la fantastica,@Lokuelaa,2020-12-10T19:06:50.000Z,"#YoNoMeVacuno me fio cero de cualquier vacuna exprés....habría que hacer un computo general de muertos, en q porcentaje ha disminuido la población mundial?"
Sara Carreño Valero,@Saracarrenov,2020-12-10T18:56:21.000Z,"Acabo de leer en el hastagh #YoNoMeVacuno que la vacuna del COVID19 cambia el ADN. 
Es urgente incrementar las horas de clase de biología en la escuela."
Bill o' the wisp,@Chemistry_Bill,2020-12-10T18:38:39.000Z,"Oye y si cogemos todo ese escepticismo y pensamiento crítico que rezuma el #YoNoMeVacuno y lo aplicamos a cosas como la homeopatía o el Reiki? 
A lo mejor hasta os lleváis una sorpresa"
Mces Martin Burton,@McesMB,2020-12-10T17:35:41.000Z,Los de #yonomevacuno son los que luego te hablan de cifras de muertos en otras discusiones
Sergio Cordero,@serocordero,2020-12-10T17:32:10.000Z,"#YoNoMeVacuno una vacuna sin los controles necesarios, se convierte en un asesinato en caso de que la persona fallezca. Eso cuenta como como genocidio?"
LetradaCabreada,@LetradaCabreada,2020-12-10T17:08:51.000Z,"Cansada de ver como el sistema me dice  como tengo que vivir o como tengo que morir, soy un ser libre regido sólo por mi consciencia, meteros vuestras recomendaciones por el culo.
#NoAlBozal
#Libertad
#NoalNOM
#YoNoMeVacuno"
Nαty,@NatyCP_23,2020-12-10T17:06:28.000Z,"Creo en el virus, respeto todas las medidas de seguridad, pero no creo en la vacuna. No de momento. #YoNoMeVacuno"
Θğα๖єໄ® ॐ,@ogabel_,2020-12-10T16:52:51.000Z,"Entonces..., si #YoNoMeVacuno me multan con 1.000€ y  si me vacuno me pagan otros tantos o más. 
Esto que es ¿las gallinas que entran por las que van saliendo?"
"Cristina Castello
41%",@CrisCastello01,2020-12-10T16:45:27.000Z,"#YoNoMeVacuno Alergias:  hay alergias no descubiertas; una vez -yo era chica- me daban 1 inyección q me ponían siempre para la tos, sin problemas. Aquel día, me puse rojo fuego y +Por suerte la farmacia estaba al lado, y mi mamá salió como loca a comprar Benadril y me salvaron"
Sergi,@SergiBotella,2020-12-10T16:31:04.000Z,Si us esteu aborrint només heu de llegir les parides del hashtag #YoNoMeVacuno  JAJAJAJA
"Pau (la) , parapetada en la ciencia",@Pau_Vega13,2020-12-10T16:20:24.000Z,"A ver los del #YoNoMeVacuno , ¿Os habéis parado a pensar en los efectos secundarios de no sé, la aspirina o el paracetamol?
Pues os pueden salvar la vida lo mismo que la vacuna.
Las dudas son legítimas pero esa cerrazón no aceptando información...NO"
"𝕄𝕒𝕝𝕪𝕡𝕤𝕪
♫︎♡︎シ︎",@maliquil,2020-12-10T16:07:06.000Z,"Quien es el Cuis!!! Quien te juna??? Para determinar q la va una blabla? Sos médico?
Circulaaa...
#YoNoMevacuno"
Cabesa,@Jaimevalderas00,2020-12-10T15:51:37.000Z,"Persona que se acaba de vacunar: Se tropieza

La prensa: ""LA VACUNA DE PFIZER PUEDE PROVOCAR PÉRDIDAS DE EQUILIBRIO Y PARÁLISIS CORPORAL""

Antivacunas: #YoNoMeVacuno"
ElHereje,@liberatumente89,2020-12-10T15:22:21.000Z,"Te dicen que la vacuna no será obligatoria (porque legalmente no pueden) pero si no te la pones no podrás trabajar, viajar o entrar en hospitales. Seguimos sin ver el problema? #YoNoMeVacuno"
Holasoyterf,@holasoyterf,2020-12-10T15:08:53.000Z,"La #leytrans obliga a ser mujer y borra a las mujeres, no sé lo que no entendéis #contraelborrado #yonomevacuno"
